[2019-11-04 16:40:05.333192 +01:00] INFO [src\cpu.rs:335] C000  4C F5     JMP A:00 X:00 Y:00 P:24 SP:FD
[2019-11-04 16:40:05.333192 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:24 SP:FD
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:26 SP:FB
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:40:05.334193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:F7
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:F3
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:F1
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:F1
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:F1
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:F1
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:EF
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:ED
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:ED
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:ED
[2019-11-04 16:40:05.335193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:ED
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:EB
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:E9
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:E9
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:E9
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:E9
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:E7
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:E5
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:E5
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:E5
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:E5
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:E3
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:E1
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:E1
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:E1
[2019-11-04 16:40:05.336193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:E1
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:DF
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:DD
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:DD
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:DD
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:DD
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:DB
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:D9
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:D9
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:D9
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:D9
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:D7
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:D5
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:D5
[2019-11-04 16:40:05.337193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:D5
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:D5
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:D3
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:D1
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:D1
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:D1
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:D1
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:CF
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:CD
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:CD
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:CD
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:CD
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:CB
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:C9
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:C9
[2019-11-04 16:40:05.338193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:C9
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:C9
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:C7
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:C5
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:C5
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:C5
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:C5
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:C3
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:C1
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:C1
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:C1
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:C1
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:BF
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:BD
[2019-11-04 16:40:05.339193 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:BD
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:BD
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:BD
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:BB
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:B9
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:B9
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:B9
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:B9
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:B7
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:B5
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:B5
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:B5
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:B5
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:B3
[2019-11-04 16:40:05.340194 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:B1
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:B1
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:B1
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:B1
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:AF
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:AD
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:AD
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5FA  10 86     BPL A:00 X:00 Y:00 P:36 SP:AD
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:AD
[2019-11-04 16:40:05.341194 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:AB
