DEBUG [nes] Loaded rom:"nestest.nes"
INFO [nes::cpu] C7DC  A9 FF     LDA A:80 X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C7DE  85 01     STA A:FF X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C7E0  24 01     BIT A:FF X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C7E2  A9 00     LDA A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C7E4  38 78     SEC A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C7E5  78 F8     SEI A:00 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C7E6  F8 08     SED A:00 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C7E7  08 68     PHP A:00 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C7E8  68 29     PLA A:00 X:00 Y:00 P:7F SP:FA
INFO [nes::cpu] C7E9  29 EF     AND A:7F X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C7EB  C9 6F     CMP A:6F X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C7ED  F0 04     BEQ A:6F X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C7F3  EA A9     NOP A:6F X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C7F4  A9 40     LDA A:6F X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C7F6  85 01     STA A:40 X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C7F8  24 01     BIT A:40 X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C7FA  D8 A9     CLD A:40 X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C7FB  A9 10     LDA A:40 X:00 Y:00 P:75 SP:FB
INFO [nes::cpu] C7FD  18 08     CLC A:10 X:00 Y:00 P:75 SP:FB
INFO [nes::cpu] C7FE  08 68     PHP A:10 X:00 Y:00 P:74 SP:FB
INFO [nes::cpu] C7FF  68 29     PLA A:10 X:00 Y:00 P:74 SP:FA
INFO [nes::cpu] C800  29 EF     AND A:74 X:00 Y:00 P:74 SP:FB
INFO [nes::cpu] C802  C9 64     CMP A:64 X:00 Y:00 P:74 SP:FB
INFO [nes::cpu] C804  F0 04     BEQ A:64 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C80A  EA A9     NOP A:64 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C80B  A9 80     LDA A:64 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C80D  85 01     STA A:80 X:00 Y:00 P:F5 SP:FB
INFO [nes::cpu] C80F  24 01     BIT A:80 X:00 Y:00 P:F5 SP:FB
INFO [nes::cpu] C811  F8 A9     SED A:80 X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C812  A9 00     LDA A:80 X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C814  38 08     SEC A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C815  08 68     PHP A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C816  68 29     PLA A:00 X:00 Y:00 P:3F SP:FA
INFO [nes::cpu] C817  29 EF     AND A:3F X:00 Y:00 P:3D SP:FB
INFO [nes::cpu] C819  C9 2F     CMP A:2F X:00 Y:00 P:3D SP:FB
INFO [nes::cpu] C81B  F0 04     BEQ A:2F X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C821  EA A9     NOP A:2F X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C822  A9 FF     LDA A:2F X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C824  48 28     PHA A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C825  28 D0     PLP A:FF X:00 Y:00 P:BD SP:FA
INFO [nes::cpu] C826  D0 09     BNE A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C828  10 07     BPL A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C82A  50 05     BVC A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C82C  90 03     BCC A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C82E  4C 35     JMP A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C835  EA A9     NOP A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C836  A9 04     LDA A:FF X:00 Y:00 P:FF SP:FB
INFO [nes::cpu] C838  48 28     PHA A:04 X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C839  28 F0     PLP A:04 X:00 Y:00 P:7D SP:FA
