INFO [nes::cpu] C000  4C F5   JMP A:00 X:00 Y:00 P:24 SP:FD
INFO [nes::cpu] C5F5 A2 00  LDX A:00 X:00 Y:00 P:24 SP:FD
INFO [nes::cpu] C5F7  86 00     STX A:00 X:00 Y:00 P:26 SP:FD
INFO [nes::cpu] C5F9  86 10     STX A:00 X:00 Y:00 P:26 SP:FD
INFO [nes::cpu] C5FB  86 11     STX A:00 X:00 Y:00 P:26 SP:FD
INFO [nes::cpu] C5FD  20 2D C7  JSR A:00 X:00 Y:00 P:26 SP:FD
INFO [nes::cpu] C72D  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C72E  38        SEC A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C72F  B0 04     BCS A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C735  EA        NOP A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C736  18        CLC A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C737  B0 03     BCS A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C739  4C 40 C7  JMP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C740  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C741  38        SEC A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C742  90 03     BCC A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C744  4C 4B C7  JMP A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C74B  EA        NOP A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C74C  18        CLC A:00 X:00 Y:00 P:27 SP:FB
INFO [nes::cpu] C74D  90 04     BCC A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C753  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C754  A9 00     LDA A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C756  F0 04     BEQ A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C75C  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C75D  A9 40     LDA A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C75F  F0 03     BEQ A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C761  4C 68 C7  JMP A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C768  EA        NOP A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C769  A9 40     LDA A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C76B  D0 04     BNE A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C771  EA        NOP A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C772  A9 00     LDA A:40 X:00 Y:00 P:24 SP:FB
INFO [nes::cpu] C774  D0 03     BNE A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C776  4C 7D C7  JMP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C77D  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C77E  A9 FF     LDA A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C780  85 01     STA A:FF X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C782  24 01     BIT A:FF X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C784  70 04     BVS A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C78A  EA        NOP A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C78B  24 01     BIT A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C78D  50 03     BVC A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C78F  4C 96 C7  JMP A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C796  EA        NOP A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C797  A9 00     LDA A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C799  85 01     STA A:00 X:00 Y:00 P:66 SP:FB
INFO [nes::cpu] C79B  24 01     BIT A:00 X:00 Y:00 P:66 SP:FB
INFO [nes::cpu] C79D  50 04     BVC A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7A3  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7A4  24 01     BIT A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7A6  70 03     BVS A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7A8  4C AF C7  JMP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7AF  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7B0  A9 00     LDA A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7B2  10 04     BPL A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7B8  EA        NOP A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7B9  A9 80     LDA A:00 X:00 Y:00 P:26 SP:FB
INFO [nes::cpu] C7BB  10 03     BPL A:80 X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7BD  4C D9 C7  JMP A:80 X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7D9  EA        NOP A:80 X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7DA  60        RTS A:80 X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C600  20 DB C7  JSR A:80 X:00 Y:00 P:A4 SP:FD
INFO [nes::cpu] C7DB  EA        NOP A:80 X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7DC  A9 FF     LDA A:80 X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7DE  85 01     STA A:FF X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7E0  24 01     BIT A:FF X:00 Y:00 P:A4 SP:FB
INFO [nes::cpu] C7E2  A9 00     LDA A:FF X:00 Y:00 P:E4 SP:FB
INFO [nes::cpu] C7E4  38        SEC A:00 X:00 Y:00 P:66 SP:FB
INFO [nes::cpu] C7E5  78        SEI A:00 X:00 Y:00 P:67 SP:FB
INFO [nes::cpu] C7E6  F8        SED A:00 X:00 Y:00 P:67 SP:FB
INFO [nes::cpu] C7E7  08        PHP A:00 X:00 Y:00 P:6F SP:FB
